"constituency","year_1","year_2","year_3","year_4","year_5","year_6"
1,"Multipolar","Multipolar","Multipolar","Multipolar","Bipolar","Bipolar"
2,"Multipolar","Bipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar"
3,"Bipolar","Multipolar","Bipolar","Divided-Unipolar","Bipolar","Multipolar"
4,"Multipolar","Multipolar","Bipolar","Divided-Unipolar","Bipolar","Bipolar"
5,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
6,"Multipolar","Multipolar","Divided-Unipolar","Multipolar","Divided-Unipolar","Multipolar"
7,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
8,"Bipolar","Bipolar","Multipolar","Bipolar","Bipolar","Unipolar"
9,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Unipolar"
10,"Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
11,"Unipolar","Multipolar","Divided-Unipolar","Unipolar","Bipolar","Unipolar"
12,"Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Bipolar"
13,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
14,"Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
15,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
16,"Bipolar","Multipolar","Multipolar","Bipolar","Multipolar","Unipolar"
17,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
18,"Multipolar","Bipolar","Bipolar","Multipolar","Multipolar","Bipolar"
19,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
20,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
21,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
22,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
23,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
24,"Multipolar","Multipolar","Bipolar","Multipolar","Multipolar","Divided-Unipolar"
25,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
26,"Bipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
27,"Bipolar","Divided-Unipolar","Multipolar","Bipolar","Unipolar","Bipolar"
28,"Bipolar","Bipolar","Unipolar","Multipolar","Bipolar","Bipolar"
29,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
30,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
31,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
32,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
33,"Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar"
34,"Multipolar","Multipolar","Unipolar","Unipolar","Multipolar","Unipolar"
35,"Multipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
36,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
37,"Bipolar","Unipolar","Multipolar","Multipolar","Bipolar","Multipolar"
38,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
39,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Bipolar"
40,"Bipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
41,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
42,"Bipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Bipolar"
43,"Multipolar","Multipolar","Multipolar","Bipolar","Multipolar","Divided-Unipolar"
44,"Unipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Divided-Unipolar"
45,"Divided-Unipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar"
46,"Multipolar","Multipolar","Bipolar","Unipolar","Multipolar","Unipolar"
47,"Unipolar","Multipolar","Multipolar","Divided-Unipolar","Divided-Unipolar","Unipolar"
48,"Multipolar","Multipolar","Bipolar","Multipolar","Bipolar","Multipolar"
49,"Bipolar","Multipolar","Multipolar","Bipolar","Multipolar","Divided-Unipolar"
50,"Multipolar","Bipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
51,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Bipolar","Multipolar"
52,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
53,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
54,"Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
55,"Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
56,"Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
57,"Divided-Unipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
58,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
59,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
60,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar"
61,"Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
62,"Bipolar","Divided-Unipolar","Bipolar","Divided-Unipolar","Divided-Unipolar","Unipolar"
63,"Multipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
64,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
65,"Unipolar","Bipolar","Bipolar","Bipolar","Multipolar","Multipolar"
66,"Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Divided-Unipolar"
67,"Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Multipolar"
68,"Unipolar","Multipolar","Divided-Unipolar","Divided-Unipolar","Unipolar","Divided-Unipolar"
69,"Unipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
70,"Divided-Unipolar","Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar"
71,"Unipolar","Divided-Unipolar","Bipolar","Multipolar","Multipolar","Multipolar"
72,"Bipolar","Bipolar","Multipolar","Divided-Unipolar","Multipolar","Divided-Unipolar"
73,"Divided-Unipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
74,"Divided-Unipolar","Multipolar","Bipolar","Bipolar","Multipolar","Divided-Unipolar"
75,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
76,"Bipolar","Multipolar","Bipolar","Multipolar","Multipolar","Divided-Unipolar"
77,"Unipolar","Multipolar","Multipolar","Multipolar","Bipolar","Multipolar"
78,"Unipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar","Divided-Unipolar"
79,"Divided-Unipolar","Multipolar","Multipolar","Bipolar","Bipolar","Multipolar"
80,"Divided-Unipolar","Bipolar","Bipolar","Multipolar","Multipolar","Multipolar"
81,"Unipolar","Bipolar","Multipolar","Bipolar","Bipolar","Divided-Unipolar"
82,"Bipolar","Bipolar","Bipolar","Bipolar","Bipolar","Multipolar"
83,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
84,"Unipolar","Multipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar"
85,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Unipolar","Multipolar"
86,"Divided-Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
87,"Bipolar","Multipolar","Bipolar","Multipolar","Multipolar","Multipolar"
88,"Bipolar","Multipolar","Multipolar","Divided-Unipolar","Multipolar","Multipolar"
89,"Unipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
90,"Bipolar","Multipolar","Multipolar","Bipolar","Multipolar","Multipolar"
91,"Divided-Unipolar","Multipolar","Bipolar","Divided-Unipolar","Multipolar","Bipolar"
92,"Multipolar","Multipolar","Multipolar","Multipolar","Multipolar","Multipolar"
93,"Divided-Unipolar","Bipolar","Multipolar","Multipolar","Multipolar","Unipolar"
94,"Multipolar","Bipolar","Multipolar","Multipolar","Multipolar","Multipolar"
95,"Bipolar","Multipolar","Bipolar","Multipolar","Multipolar","Unipolar"
96,"Bipolar","Bipolar","Bipolar","Multipolar","Bipolar","Unipolar"
97,"Bipolar","Multipolar","Multipolar","Multipolar","Multipolar","Bipolar"
98,"Bipolar","Bipolar","Multipolar","Multipolar","Divided-Unipolar","Bipolar"
99,"Unipolar","Divided-Unipolar","Multipolar","Multipolar","Bipolar","Unipolar"
