Constituency,Rank 1 VS,Rank 2 VS,Rank 3 VS,Rank 4 VS
1,28.14%,25.77%,23.66%,15.77%
2,41.33%,19.18%,17.01%,15.13%
3,47.72%,36.30%,10.13%,2.65%
4,49.66%,31.47%,12.90%,1.03%
5,36.49%,24.60%,21.53%,9.62%
6,45.36%,28.42%,17.78%,2.63%
7,41.59%,29.66%,17.18%,4.64%
8,38.45%,32.34%,15.33%,8.06%
9,30.36%,26.37%,16.05%,11.76%
11,33.72%,27.67%,27.18%,4.78%
11,42.79%,27.55%,12.43%,12.43%
12,30.81%,29.18%,13.42%,11.47%
13,31.89%,31.18%,28.67%,2.51%
14,31.78%,24.60%,19.01%,13.95%
15,33.86%,27.66%,16.54%,8.90%
15,31.67%,18.39%,16.72%,10.28%
16,37.92%,22.99%,19.54%,7.03%
17,38.97%,32.72%,14.39%,3.93%
18,32.86%,25.95%,16.94%,8.84%
18,29.09%,27.22%,11.99%,11.88%
19,35.27%,30.27%,13.95%,12.73%
20,40.80%,28.06%,16.19%,7.66%
21,31.41%,21.62%,14.96%,13.65%
22,37.17%,36.83%,13.17%,3.55%
23,35.91%,17.58%,16.92%,10.89%
25,28.33%,16.29%,16.23%,12.82%
26,37.02%,31.62%,23.18%,2.96%
27,60.71%,24.96%,4.87%,2.37%
29,27.12%,23.30%,18.67%,12.08%
29,35.14%,31.05%,28.06%,1.66%
31,36.19%,29.66%,27.45%,1.92%
33,33.45%,24.99%,23.24%,8.79%
34,37.69%,28.70%,26.99%,1.87%
35,55.54%,20.63%,15.96%,4.71%
36,20.84%,20.41%,17.33%,15.57%
38,28.49%,24.56%,22.70%,11.35%
40,31.02%,28.85%,14.01%,10.89%
41,31.29%,30.79%,12.82%,12.36%
43,32.52%,19.05%,16.74%,14.56%
44,26.83%,20.14%,20.07%,16.29%
45,28.44%,22.60%,15.77%,13.87%
46,32.82%,30.24%,19.51%,11.45%
47,40.26%,28.79%,14.20%,8.95%
48,35.50%,34.70%,12.81%,8.31%
49,42.75%,23.99%,17.12%,4.77%
50,49.56%,33.46%,10.50%,1.94%
51,29.59%,27.89%,16.11%,12.49%
52,41.14%,34.71%,10.37%,8.67%
52,33.25%,31.92%,24.99%,3.99%
53,35.83%,28.17%,22.97%,5.41%
