"Constituency","Rank 1 VS","Rank 2 VS","Rank 3 VS","Rank 4 VS"
1,46.43%,36.11%,9.60%,3.14%
2,36.34%,29.88%,26.01%,4.97%
3,41.18%,35.43%,14.22%,6.08%
4,46.37%,36.75%,7.41%,4.11%
5,36.54%,27.20%,18.10%,14.62%
6,45.21%,27.91%,11.72%,11.19%
7,35.37%,29.94%,25.83%,5.78%
8,49.02%,37.95%,5.83%,5.11%
9,41.68%,37.24%,13.30%,5.19%
10,48.77%,38.34%,5.87%,4.89%
11,39.26%,34.89%,12.35%,9.59%
12,40.82%,24.00%,14.87%,14.03%
13,30.19%,28.68%,15.89%,13.63%
14,40.17%,39.70%,12.08%,4.21%
15,35.19%,34.97%,16.63%,8.15%
16,35.13%,30.84%,13.36%,12.53%
17,36.15%,30.19%,21.25%,5.57%
18,34.16%,29.34%,23.97%,5.32%
19,36.26%,28.94%,22.54%,7.21%
20,41.05%,24.81%,24.25%,5.42%
21,32.11%,29.20%,28.64%,3.99%
22,35.71%,28.88%,17.01%,6.48%
23,39.88%,33.93%,10.56%,6.69%
24,39.59%,27.49%,23.24%,4.41%
25,39.85%,30.39%,20.87%,3.96%
26,43.22%,32.21%,18.50%,2.08%
27,56.13%,23.49%,13.58%,2.74%
28,50.90%,29.63%,14.16%,2.38%
29,29.15%,26.56%,25.85%,14.26%
30,30.21%,25.73%,22.76%,17.39%
31,30.25%,24.45%,23.48%,18.15%
32,35.06%,32.98%,14.82%,12.72%
33,39.05%,31.47%,14.29%,10.77%
34,37.58%,25.62%,20.79%,13.22%
35,38.06%,36.33%,15.52%,6.87%
36,40.16%,29.70%,19.00%,8.01%
37,47.01%,36.98%,6.86%,6.71%
38,38.56%,26.43%,22.04%,9.01%
39,48.06%,24.09%,21.27%,1.24%
40,44.07%,29.04%,20.04%,1.45%
41,33.23%,32.45%,24.40%,4.76%
42,44.07%,25.01%,21.09%,2.09%
43,35.66%,30.05%,26.68%,4.91%
44,34.33%,32.83%,22.82%,5.95%
45,33.50%,29.23%,13.24%,10.03%
46,32.54%,30.62%,23.12%,4.16%
47,43.64%,24.92%,15.11%,10.54%
